"2023-05-10 00:19:56,592 [INFO] Reporter Initialized!
"2023-05-10 00:19:56,593 [INFO] Reporter LEVEL: info
"2023-05-10 00:19:56,595 [INFO] Usung random data
"2023-05-10 00:19:56,717 [INFO] None
"2023-05-10 00:19:56,717 [INFO] Device(cpu) is working for train
"2023-05-10 00:19:56,718 [INFO] Train Started
"2023-05-10 00:19:57,590 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/0.onnx
"2023-05-10 00:19:57,591 [INFO] ===== Saved non-trained network
"2023-05-10 00:20:17,164 [INFO] EPISODE 610, LOSS 0.09974630922079086
"2023-05-10 00:20:17,429 [INFO] EPISODE 620, LOSS 0.31210723519325256
"2023-05-10 00:20:17,709 [INFO] EPISODE 630, LOSS 0.16164721548557281
"2023-05-10 00:20:17,945 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/634.onnx
"2023-05-10 00:20:18,024 [INFO] EPISODE 640, LOSS 0.14226672053337097
"2023-05-10 00:20:18,290 [INFO] EPISODE 650, LOSS 0.15164093673229218
"2023-05-10 00:20:18,547 [INFO] EPISODE 660, LOSS 0.13871701061725616
"2023-05-10 00:20:18,811 [INFO] EPISODE 670, LOSS 0.18349188566207886
"2023-05-10 00:20:19,187 [INFO] EPISODE 680, LOSS 0.07491134852170944
"2023-05-10 00:20:19,450 [INFO] EPISODE 690, LOSS 0.14911504089832306
"2023-05-10 00:20:19,716 [INFO] EPISODE 700, LOSS 0.26774901151657104
"2023-05-10 00:20:19,979 [INFO] EPISODE 710, LOSS 0.06549417227506638
"2023-05-10 00:20:20,240 [INFO] EPISODE 720, LOSS 0.3836301267147064
"2023-05-10 00:20:20,504 [INFO] EPISODE 730, LOSS 0.13071759045124054
"2023-05-10 00:20:20,763 [INFO] EPISODE 740, LOSS 0.11820847541093826
"2023-05-10 00:20:21,019 [INFO] EPISODE 750, LOSS 0.1260862797498703
"2023-05-10 00:20:21,286 [INFO] EPISODE 760, LOSS 0.271160751581192
"2023-05-10 00:20:21,545 [INFO] EPISODE 770, LOSS 0.1718485951423645
"2023-05-10 00:20:21,813 [INFO] EPISODE 780, LOSS 0.15966157615184784
"2023-05-10 00:20:22,080 [INFO] EPISODE 790, LOSS 0.15008403360843658
"2023-05-10 00:20:22,348 [INFO] EPISODE 800, LOSS 0.2020692080259323
"2023-05-10 00:20:22,621 [INFO] EPISODE 810, LOSS 0.19696132838726044
"2023-05-10 00:20:22,899 [INFO] EPISODE 820, LOSS 0.27722176909446716
"2023-05-10 00:20:23,160 [INFO] EPISODE 830, LOSS 0.2489193081855774
"2023-05-10 00:20:23,410 [INFO] EPISODE 840, LOSS 0.19139425456523895
"2023-05-10 00:20:23,667 [INFO] EPISODE 850, LOSS 0.09512993693351746
"2023-05-10 00:20:23,917 [INFO] EPISODE 860, LOSS 0.1814565658569336
"2023-05-10 00:20:24,176 [INFO] EPISODE 870, LOSS 0.21044255793094635
"2023-05-10 00:20:24,425 [INFO] EPISODE 880, LOSS 0.152941033244133
"2023-05-10 00:20:24,767 [INFO] EPISODE 890, LOSS 0.17647580802440643
"2023-05-10 00:20:25,018 [INFO] EPISODE 900, LOSS 0.11354442685842514
"2023-05-10 00:20:25,276 [INFO] EPISODE 910, LOSS 0.19875268638134003
"2023-05-10 00:20:25,522 [INFO] EPISODE 920, LOSS 0.13281483948230743
"2023-05-10 00:20:25,778 [INFO] EPISODE 930, LOSS 0.12782470881938934
"2023-05-10 00:20:26,027 [INFO] EPISODE 940, LOSS 0.27827104926109314
"2023-05-10 00:20:26,286 [INFO] EPISODE 950, LOSS 0.11560073494911194
"2023-05-10 00:20:26,537 [INFO] EPISODE 960, LOSS 0.20514684915542603
"2023-05-10 00:20:26,798 [INFO] EPISODE 970, LOSS 0.23488135635852814
"2023-05-10 00:20:27,047 [INFO] EPISODE 980, LOSS 0.26493778824806213
"2023-05-10 00:20:27,304 [INFO] EPISODE 990, LOSS 0.21380919218063354
"2023-05-10 00:20:27,591 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/1000.onnx
"2023-05-10 00:20:27,591 [INFO] EPISODE 1000, LOSS 0.1650913804769516
"2023-05-10 00:20:27,857 [INFO] EPISODE 1010, LOSS 0.11088622361421585
"2023-05-10 00:20:28,119 [INFO] EPISODE 1020, LOSS 0.121055968105793
"2023-05-10 00:20:28,374 [INFO] EPISODE 1030, LOSS 0.15813055634498596
"2023-05-10 00:20:28,629 [INFO] EPISODE 1040, LOSS 0.08432547003030777
"2023-05-10 00:20:28,887 [INFO] EPISODE 1050, LOSS 0.2906845510005951
"2023-05-10 00:20:29,146 [INFO] EPISODE 1060, LOSS 0.1821610927581787
"2023-05-10 00:20:29,403 [INFO] EPISODE 1070, LOSS 0.3239152729511261
"2023-05-10 00:20:29,662 [INFO] EPISODE 1080, LOSS 0.23263776302337646
"2023-05-10 00:20:29,917 [INFO] EPISODE 1090, LOSS 0.15838830173015594
"2023-05-10 00:20:30,177 [INFO] EPISODE 1100, LOSS 0.1760222464799881
