"2023-05-08 15:39:47,303 [INFO] Reporter Initialized!
"2023-05-08 15:39:47,303 [INFO] Reporter LEVEL: info
"2023-05-08 15:39:47,687 [INFO] Loaded csv data is 0507_0746PM
"2023-05-08 15:39:49,171 [INFO] None
"2023-05-08 15:39:49,171 [INFO] Device(cuda) is working for train
"2023-05-08 15:39:49,171 [INFO] Train Started
"2023-05-08 15:40:59,837 [INFO] EPISODE 870, LOSS 0.9518985748291016
"2023-05-08 15:41:00,640 [INFO] EPISODE 880, LOSS 5.280330657958984
"2023-05-08 15:41:01,441 [INFO] EPISODE 890, LOSS 0.5701315402984619
"2023-05-08 15:41:02,325 [INFO] EPISODE 900, LOSS 1.3402440547943115
"2023-05-08 15:41:03,106 [INFO] EPISODE 910, LOSS 1.4209192991256714
"2023-05-08 15:41:03,935 [INFO] EPISODE 920, LOSS 2.6037228107452393
"2023-05-08 15:41:04,770 [INFO] EPISODE 930, LOSS 0.9074300527572632
"2023-05-08 15:41:05,584 [INFO] EPISODE 940, LOSS 0.6694042086601257
"2023-05-08 15:41:06,361 [INFO] EPISODE 950, LOSS 1.3172820806503296
"2023-05-08 15:41:07,142 [INFO] EPISODE 960, LOSS 0.8493472337722778
"2023-05-08 15:41:07,937 [INFO] EPISODE 970, LOSS 2.9774930477142334
"2023-05-08 15:41:08,787 [INFO] EPISODE 980, LOSS 0.7089886665344238
"2023-05-08 15:41:09,599 [INFO] EPISODE 990, LOSS 0.4528961181640625
"2023-05-08 15:41:10,398 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/1000.onnx
"2023-05-08 15:41:10,398 [INFO] EPISODE 1000, LOSS 1.1332030296325684
"2023-05-08 15:41:11,228 [INFO] EPISODE 1010, LOSS 0.8967465758323669
"2023-05-08 15:41:12,060 [INFO] EPISODE 1020, LOSS 1.2869938611984253
"2023-05-08 15:41:12,853 [INFO] EPISODE 1030, LOSS 0.5401067733764648
"2023-05-08 15:41:13,625 [INFO] EPISODE 1040, LOSS 0.8616135120391846
"2023-05-08 15:41:14,370 [INFO] EPISODE 1050, LOSS 1.6513421535491943
"2023-05-08 15:41:15,140 [INFO] EPISODE 1060, LOSS 1.6719201803207397
"2023-05-08 15:41:15,885 [INFO] EPISODE 1070, LOSS 1.4128344058990479
"2023-05-08 15:41:16,620 [INFO] EPISODE 1080, LOSS 2.2140588760375977
"2023-05-08 15:41:17,355 [INFO] EPISODE 1090, LOSS 0.2963535487651825
"2023-05-08 15:41:18,107 [INFO] EPISODE 1100, LOSS 2.1307876110076904
"2023-05-08 15:41:18,832 [INFO] EPISODE 1110, LOSS 0.6010885834693909
"2023-05-08 15:41:19,566 [INFO] EPISODE 1120, LOSS 1.2048667669296265
"2023-05-08 15:41:20,322 [INFO] EPISODE 1130, LOSS 0.9863030314445496
"2023-05-08 15:41:21,076 [INFO] EPISODE 1140, LOSS 1.552825927734375
"2023-05-08 15:41:21,955 [INFO] EPISODE 1150, LOSS 0.5367951393127441
"2023-05-08 15:41:22,771 [INFO] EPISODE 1160, LOSS 0.63615882396698
"2023-05-08 15:41:23,583 [INFO] EPISODE 1170, LOSS 0.749485433101654
"2023-05-08 15:41:24,426 [INFO] EPISODE 1180, LOSS 0.7072350382804871
"2023-05-08 15:41:25,202 [INFO] EPISODE 1190, LOSS 1.1895742416381836
"2023-05-08 15:41:26,018 [INFO] EPISODE 1200, LOSS 1.2290982007980347
"2023-05-08 15:41:26,813 [INFO] EPISODE 1210, LOSS 1.2526835203170776
"2023-05-08 15:41:27,620 [INFO] EPISODE 1220, LOSS 0.7638999223709106
"2023-05-08 15:41:28,406 [INFO] EPISODE 1230, LOSS 0.7670981287956238
"2023-05-08 15:41:29,190 [INFO] EPISODE 1240, LOSS 0.6208107471466064
"2023-05-08 15:41:29,985 [INFO] EPISODE 1250, LOSS 0.2155718058347702
"2023-05-08 15:41:30,777 [INFO] EPISODE 1260, LOSS 0.7910172939300537
"2023-05-08 15:41:31,588 [INFO] EPISODE 1270, LOSS 3.7797045707702637
"2023-05-08 15:41:32,350 [INFO] EPISODE 1280, LOSS 0.692316472530365
"2023-05-08 15:41:33,153 [INFO] EPISODE 1290, LOSS 1.2173354625701904
"2023-05-08 15:41:33,939 [INFO] EPISODE 1300, LOSS 1.1353176832199097
"2023-05-08 15:41:34,709 [INFO] EPISODE 1310, LOSS 2.0830135345458984
"2023-05-08 15:41:35,542 [INFO] EPISODE 1320, LOSS 0.6914023756980896
"2023-05-08 15:41:36,336 [INFO] EPISODE 1330, LOSS 0.7954503893852234
"2023-05-08 15:41:37,073 [INFO] EPISODE 1340, LOSS 0.7894291281700134
"2023-05-08 15:41:37,842 [INFO] EPISODE 1350, LOSS 0.9622613787651062
"2023-05-08 15:41:38,683 [INFO] EPISODE 1360, LOSS 0.5683125257492065
"2023-05-08 15:41:39,525 [INFO] EPISODE 1370, LOSS 2.50053071975708
"2023-05-08 15:41:40,357 [INFO] EPISODE 1380, LOSS 1.5442790985107422
"2023-05-08 15:41:41,193 [INFO] EPISODE 1390, LOSS 0.29345184564590454
"2023-05-08 15:41:42,053 [INFO] EPISODE 1400, LOSS 0.27365565299987793
"2023-05-08 15:41:42,887 [INFO] EPISODE 1410, LOSS 0.7679190635681152
"2023-05-08 15:41:43,674 [INFO] EPISODE 1420, LOSS 0.3708517551422119
"2023-05-08 15:41:44,458 [INFO] EPISODE 1430, LOSS 0.591143012046814
"2023-05-08 15:41:45,293 [INFO] EPISODE 1440, LOSS 0.48098963499069214
"2023-05-08 15:41:46,081 [INFO] EPISODE 1450, LOSS 0.7767307162284851
"2023-05-08 15:41:46,883 [INFO] EPISODE 1460, LOSS 0.420097291469574
"2023-05-08 15:41:47,716 [INFO] EPISODE 1470, LOSS 0.38276976346969604
"2023-05-08 15:41:48,509 [INFO] EPISODE 1480, LOSS 0.3612799048423767
"2023-05-08 15:41:49,319 [INFO] EPISODE 1490, LOSS 0.984700083732605
"2023-05-08 15:41:50,092 [INFO] EPISODE 1500, LOSS 1.1093785762786865
"2023-05-08 15:41:50,937 [INFO] EPISODE 1510, LOSS 0.6854008436203003
"2023-05-08 15:41:51,726 [INFO] EPISODE 1520, LOSS 1.1958417892456055
"2023-05-08 15:41:52,576 [INFO] EPISODE 1530, LOSS 0.36877378821372986
"2023-05-08 15:41:53,360 [INFO] EPISODE 1540, LOSS 0.5902732610702515
"2023-05-08 15:41:54,179 [INFO] EPISODE 1550, LOSS 0.3984762132167816
"2023-05-08 15:41:54,980 [INFO] EPISODE 1560, LOSS 0.7084015607833862
"2023-05-08 15:41:55,819 [INFO] EPISODE 1570, LOSS 0.6471924781799316
"2023-05-08 15:41:56,482 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/1578.onnx
"2023-05-08 15:41:56,617 [INFO] EPISODE 1580, LOSS 0.6837471723556519
"2023-05-08 15:41:57,410 [INFO] EPISODE 1590, LOSS 0.19419406354427338
"2023-05-08 15:41:58,227 [INFO] EPISODE 1600, LOSS 0.5976097583770752
"2023-05-08 15:41:59,008 [INFO] EPISODE 1610, LOSS 1.00693678855896
"2023-05-08 15:41:59,757 [INFO] EPISODE 1620, LOSS 0.38943761587142944
"2023-05-08 15:42:00,574 [INFO] EPISODE 1630, LOSS 1.20979905128479
"2023-05-08 15:42:01,328 [INFO] EPISODE 1640, LOSS 0.7236663103103638
"2023-05-08 15:42:02,153 [INFO] EPISODE 1650, LOSS 0.22751769423484802
"2023-05-08 15:42:02,970 [INFO] EPISODE 1660, LOSS 0.6311712861061096
"2023-05-08 15:42:03,795 [INFO] EPISODE 1670, LOSS 0.8485276103019714
"2023-05-08 15:42:04,555 [INFO] EPISODE 1680, LOSS 0.5469462871551514
"2023-05-08 15:42:04,782 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/1682.onnx
"2023-05-08 15:42:05,384 [INFO] EPISODE 1690, LOSS 0.6464752554893494
"2023-05-08 15:42:06,198 [INFO] EPISODE 1700, LOSS 1.5008429288864136
"2023-05-08 15:42:07,007 [INFO] EPISODE 1710, LOSS 0.865577220916748
"2023-05-08 15:42:07,767 [INFO] EPISODE 1720, LOSS 1.1246311664581299
"2023-05-08 15:42:08,609 [INFO] EPISODE 1730, LOSS 0.29840677976608276
"2023-05-08 15:42:09,397 [INFO] EPISODE 1740, LOSS 1.0260292291641235
"2023-05-08 15:42:10,245 [INFO] EPISODE 1750, LOSS 1.8274619579315186
"2023-05-08 15:42:11,070 [INFO] EPISODE 1760, LOSS 0.824205756187439
"2023-05-08 15:42:11,859 [INFO] EPISODE 1770, LOSS 0.16386191546916962
"2023-05-08 15:42:12,651 [INFO] EPISODE 1780, LOSS 0.39081427454948425
"2023-05-08 15:42:13,452 [INFO] EPISODE 1790, LOSS 0.20064717531204224
"2023-05-08 15:42:14,051 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/1797.onnx
"2023-05-08 15:42:14,307 [INFO] EPISODE 1800, LOSS 2.3246891498565674
"2023-05-08 15:42:15,107 [INFO] EPISODE 1810, LOSS 0.6846506595611572
"2023-05-08 15:42:15,987 [INFO] EPISODE 1820, LOSS 0.5604280233383179
"2023-05-08 15:42:16,793 [INFO] EPISODE 1830, LOSS 0.2894919514656067
"2023-05-08 15:42:17,601 [INFO] EPISODE 1840, LOSS 1.5739281177520752
"2023-05-08 15:42:18,390 [INFO] EPISODE 1850, LOSS 4.542798042297363
"2023-05-08 15:42:18,607 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/1851.onnx
"2023-05-08 15:42:19,294 [INFO] EPISODE 1860, LOSS 0.6730676889419556
"2023-05-08 15:42:20,129 [INFO] EPISODE 1870, LOSS 0.7733415365219116
"2023-05-08 15:42:20,959 [INFO] EPISODE 1880, LOSS 0.5267735123634338
"2023-05-08 15:42:21,798 [INFO] EPISODE 1890, LOSS 0.23417159914970398
"2023-05-08 15:42:22,584 [INFO] EPISODE 1900, LOSS 0.5758775472640991
"2023-05-08 15:42:23,410 [INFO] EPISODE 1910, LOSS 0.638597309589386
"2023-05-08 15:42:24,226 [INFO] EPISODE 1920, LOSS 0.6157052516937256
"2023-05-08 15:42:25,045 [INFO] EPISODE 1930, LOSS 1.7388486862182617
"2023-05-08 15:42:25,827 [INFO] EPISODE 1940, LOSS 4.930111885070801
"2023-05-08 15:42:26,681 [INFO] EPISODE 1950, LOSS 0.5575687289237976
"2023-05-08 15:42:27,478 [INFO] EPISODE 1960, LOSS 0.3514692783355713
"2023-05-08 15:42:28,292 [INFO] EPISODE 1970, LOSS 0.4744630455970764
"2023-05-08 15:42:29,055 [INFO] EPISODE 1980, LOSS 0.6672744154930115
"2023-05-08 15:42:29,838 [INFO] EPISODE 1990, LOSS 0.19364365935325623
"2023-05-08 15:42:30,642 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/2000.onnx
"2023-05-08 15:42:30,642 [INFO] EPISODE 2000, LOSS 1.421281337738037
"2023-05-08 15:42:31,445 [INFO] EPISODE 2010, LOSS 1.1016088724136353
"2023-05-08 15:42:32,226 [INFO] EPISODE 2020, LOSS 0.504826009273529
"2023-05-08 15:42:33,059 [INFO] EPISODE 2030, LOSS 0.2890293598175049
"2023-05-08 15:42:33,911 [INFO] EPISODE 2040, LOSS 0.2689793109893799
"2023-05-08 15:42:34,769 [INFO] EPISODE 2050, LOSS 0.17148147523403168
"2023-05-08 15:42:35,579 [INFO] EPISODE 2060, LOSS 0.887746274471283
"2023-05-08 15:42:36,354 [INFO] EPISODE 2070, LOSS 0.6409360766410828
"2023-05-08 15:42:37,159 [INFO] EPISODE 2080, LOSS 2.2273502349853516
"2023-05-08 15:42:37,927 [INFO] EPISODE 2090, LOSS 1.3208539485931396
"2023-05-08 15:42:38,712 [INFO] EPISODE 2100, LOSS 0.316638708114624
"2023-05-08 15:42:39,493 [INFO] EPISODE 2110, LOSS 0.8730856776237488
"2023-05-08 15:42:40,292 [INFO] EPISODE 2120, LOSS 0.4604317545890808
"2023-05-08 15:42:41,143 [INFO] EPISODE 2130, LOSS 0.309410035610199
"2023-05-08 15:42:41,939 [INFO] EPISODE 2140, LOSS 0.7943681478500366
"2023-05-08 15:42:42,710 [INFO] EPISODE 2150, LOSS 1.843047022819519
"2023-05-08 15:42:43,525 [INFO] EPISODE 2160, LOSS 0.6079691052436829
"2023-05-08 15:42:44,327 [INFO] EPISODE 2170, LOSS 0.6836651563644409
"2023-05-08 15:42:45,174 [INFO] EPISODE 2180, LOSS 0.34714215993881226
"2023-05-08 15:42:45,958 [INFO] EPISODE 2190, LOSS 0.16992831230163574
"2023-05-08 15:42:46,737 [INFO] EPISODE 2200, LOSS 0.9681490659713745
