"2023-05-10 14:38:18,556 [INFO] Reporter Initialized!
"2023-05-10 14:38:18,557 [INFO] Reporter LEVEL: info
"2023-05-10 14:38:18,557 [INFO] Usung random data
"2023-05-10 14:38:19,764 [INFO] None
"2023-05-10 14:38:19,764 [INFO] Device(cuda) is working for train
"2023-05-10 14:38:19,764 [INFO] Train Started
"2023-05-10 14:38:19,784 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/0.onnx
"2023-05-10 14:38:19,784 [INFO] ===== Saved non-trained network
"2023-05-10 14:38:33,415 [INFO] EPISODE 940, LOSS 0.24717795848846436
"2023-05-10 14:38:33,563 [INFO] EPISODE 950, LOSS 0.0758674368262291
"2023-05-10 14:38:33,694 [INFO] EPISODE 960, LOSS 0.12801113724708557
"2023-05-10 14:38:33,823 [INFO] EPISODE 970, LOSS 0.1599925309419632
"2023-05-10 14:38:33,953 [INFO] EPISODE 980, LOSS 0.29616302251815796
"2023-05-10 14:38:34,086 [INFO] EPISODE 990, LOSS 0.24341189861297607
"2023-05-10 14:38:34,235 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/1000.onnx
"2023-05-10 14:38:34,235 [INFO] EPISODE 1000, LOSS 0.32170379161834717
"2023-05-10 14:38:34,367 [INFO] EPISODE 1010, LOSS 0.11189275979995728
"2023-05-10 14:38:34,512 [INFO] EPISODE 1020, LOSS 0.2088904082775116
"2023-05-10 14:38:34,710 [INFO] EPISODE 1030, LOSS 0.2272435426712036
"2023-05-10 14:38:34,855 [INFO] EPISODE 1040, LOSS 0.1431950479745865
"2023-05-10 14:38:34,997 [INFO] EPISODE 1050, LOSS 0.2389746606349945
"2023-05-10 14:38:35,132 [INFO] EPISODE 1060, LOSS 0.11486911028623581
"2023-05-10 14:38:35,268 [INFO] EPISODE 1070, LOSS 0.24901124835014343
"2023-05-10 14:38:35,401 [INFO] EPISODE 1080, LOSS 0.28635573387145996
"2023-05-10 14:38:35,527 [INFO] EPISODE 1090, LOSS 0.15400166809558868
"2023-05-10 14:38:35,665 [INFO] EPISODE 1100, LOSS 0.23429469764232635
"2023-05-10 14:38:35,811 [INFO] EPISODE 1110, LOSS 0.23072218894958496
"2023-05-10 14:38:35,956 [INFO] EPISODE 1120, LOSS 0.1542711853981018
