"2023-05-04 21:10:55,529 [INFO] Reporter Initialized!
"2023-05-04 21:10:55,529 [INFO] Reporter LEVEL: info
"2023-05-04 21:10:57,349 [INFO] Loaded csv data is 0504_0300PM
"2023-05-04 21:10:58,388 [INFO] None
"2023-05-04 21:10:58,389 [INFO] Device(cuda) is working for train
"2023-05-04 21:10:58,389 [INFO] Train Started
"2023-05-04 21:10:58,404 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/0.onnx
"2023-05-04 21:10:58,404 [INFO] ===== Saved non-trained network
"2023-05-04 21:11:42,160 [INFO] EPISODE 1340, LOSS 0.010550299659371376
"2023-05-04 21:11:42,454 [INFO] EPISODE 1350, LOSS 0.006380702834576368
"2023-05-04 21:11:42,750 [INFO] EPISODE 1360, LOSS 0.003918739035725594
"2023-05-04 21:11:43,080 [INFO] EPISODE 1370, LOSS 0.008221928030252457
"2023-05-04 21:11:43,380 [INFO] EPISODE 1380, LOSS 0.02793537639081478
"2023-05-04 21:11:43,684 [INFO] EPISODE 1390, LOSS 0.004462442360818386
"2023-05-04 21:11:44,030 [INFO] EPISODE 1400, LOSS 0.0006737838266417384
"2023-05-04 21:11:44,327 [INFO] EPISODE 1410, LOSS 0.0011025627609342337
"2023-05-04 21:11:44,620 [INFO] EPISODE 1420, LOSS 0.003242725506424904
"2023-05-04 21:11:44,949 [INFO] EPISODE 1430, LOSS 0.01470516249537468
"2023-05-04 21:11:45,242 [INFO] EPISODE 1440, LOSS 0.0010841831099241972
"2023-05-04 21:11:45,534 [INFO] EPISODE 1450, LOSS 0.011382810771465302
"2023-05-04 21:11:45,823 [INFO] EPISODE 1460, LOSS 0.002339925616979599
"2023-05-04 21:11:46,200 [INFO] EPISODE 1470, LOSS 0.0042480593547225
"2023-05-04 21:11:46,489 [INFO] EPISODE 1480, LOSS 0.006142073310911655
"2023-05-04 21:11:46,786 [INFO] EPISODE 1490, LOSS 0.018236327916383743
"2023-05-04 21:11:47,105 [INFO] EPISODE 1500, LOSS 0.0028127559926360846
"2023-05-04 21:11:47,395 [INFO] EPISODE 1510, LOSS 0.004451859276741743
"2023-05-04 21:11:47,686 [INFO] EPISODE 1520, LOSS 0.009526877664029598
"2023-05-04 21:11:47,976 [INFO] EPISODE 1530, LOSS 0.0026022596284747124
