"2023-05-10 15:13:45,712 [INFO] Reporter Initialized!
"2023-05-10 15:13:45,712 [INFO] Reporter LEVEL: info
"2023-05-10 15:13:45,712 [INFO] Usung random data
"2023-05-10 15:13:46,946 [INFO] None
"2023-05-10 15:13:46,946 [INFO] Device(cuda) is working for train
"2023-05-10 15:13:46,946 [INFO] Train Started
"2023-05-10 15:14:02,873 [INFO] EPISODE 1110, LOSS 0.21976380050182343
"2023-05-10 15:14:03,011 [INFO] EPISODE 1120, LOSS 0.12692390382289886
"2023-05-10 15:14:03,156 [INFO] EPISODE 1130, LOSS 0.2936963737010956
"2023-05-10 15:14:03,290 [INFO] EPISODE 1140, LOSS 0.18745827674865723
"2023-05-10 15:14:03,410 [INFO] EPISODE 1150, LOSS 0.066669762134552
"2023-05-10 15:14:03,547 [INFO] EPISODE 1160, LOSS 0.3697758615016937
"2023-05-10 15:14:03,704 [INFO] EPISODE 1170, LOSS 0.18044456839561462
"2023-05-10 15:14:03,852 [INFO] EPISODE 1180, LOSS 0.1398012936115265
"2023-05-10 15:14:03,987 [INFO] EPISODE 1190, LOSS 0.09307189285755157
"2023-05-10 15:14:04,118 [INFO] EPISODE 1200, LOSS 0.14416740834712982
"2023-05-10 15:14:04,252 [INFO] EPISODE 1210, LOSS 0.13283950090408325
"2023-05-10 15:14:04,386 [INFO] EPISODE 1220, LOSS 0.15612554550170898
"2023-05-10 15:14:04,520 [INFO] EPISODE 1230, LOSS 0.1736675500869751
"2023-05-10 15:14:04,655 [INFO] EPISODE 1240, LOSS 0.1476200520992279
"2023-05-10 15:14:04,787 [INFO] EPISODE 1250, LOSS 0.17124071717262268
"2023-05-10 15:14:04,917 [INFO] EPISODE 1260, LOSS 0.15603694319725037
"2023-05-10 15:14:05,034 [INFO] EPISODE 1270, LOSS 0.1298011988401413
"2023-05-10 15:14:05,155 [INFO] EPISODE 1280, LOSS 0.20240375399589539
"2023-05-10 15:14:05,294 [INFO] EPISODE 1290, LOSS 0.11207302659749985
"2023-05-10 15:14:05,484 [INFO] EPISODE 1300, LOSS 0.09946654736995697
"2023-05-10 15:14:05,620 [INFO] EPISODE 1310, LOSS 0.34342455863952637
"2023-05-10 15:14:05,754 [INFO] EPISODE 1320, LOSS 0.1660875827074051
"2023-05-10 15:14:05,887 [INFO] EPISODE 1330, LOSS 0.11207010596990585
"2023-05-10 15:14:06,020 [INFO] EPISODE 1340, LOSS 0.14584067463874817
"2023-05-10 15:14:06,156 [INFO] EPISODE 1350, LOSS 0.24998651444911957
"2023-05-10 15:14:06,293 [INFO] EPISODE 1360, LOSS 0.16118136048316956
"2023-05-10 15:14:06,427 [INFO] EPISODE 1370, LOSS 0.24465106427669525
"2023-05-10 15:14:06,561 [INFO] EPISODE 1380, LOSS 0.3025643229484558
"2023-05-10 15:14:06,696 [INFO] EPISODE 1390, LOSS 0.20980505645275116
"2023-05-10 15:14:06,832 [INFO] EPISODE 1400, LOSS 0.16473005712032318
"2023-05-10 15:14:06,968 [INFO] EPISODE 1410, LOSS 0.11767347902059555
"2023-05-10 15:14:07,101 [INFO] EPISODE 1420, LOSS 0.11069615930318832
