"2023-05-07 19:28:09,900 [INFO] Reporter Initialized!
"2023-05-07 19:28:09,900 [INFO] Reporter LEVEL: info
"2023-05-07 19:28:10,264 [INFO] Loaded csv data is 0507_0621PM
"2023-05-07 19:28:13,415 [INFO] None
"2023-05-07 19:28:13,415 [INFO] Device(cuda) is working for train
"2023-05-07 19:28:13,415 [INFO] Train Started
"2023-05-07 19:30:06,650 [INFO] EPISODE 990, LOSS 4633.96044921875
"2023-05-07 19:30:07,737 [INFO] ===== ONNX SAVED at ./savemodel/0507_0728PM/1000.onnx
"2023-05-07 19:30:07,738 [INFO] EPISODE 1000, LOSS 3931.40869140625
"2023-05-07 19:30:08,850 [INFO] EPISODE 1010, LOSS 2336.0126953125
"2023-05-07 19:30:09,991 [INFO] EPISODE 1020, LOSS 3096.95849609375
"2023-05-07 19:30:11,442 [INFO] EPISODE 1030, LOSS 1864.933837890625
"2023-05-07 19:30:13,061 [INFO] EPISODE 1040, LOSS 3998.599609375
"2023-05-07 19:30:14,250 [INFO] EPISODE 1050, LOSS 1997.3779296875
"2023-05-07 19:30:15,378 [INFO] EPISODE 1060, LOSS 2241.0458984375
"2023-05-07 19:30:16,509 [INFO] EPISODE 1070, LOSS 4334.49853515625
"2023-05-07 19:30:17,679 [INFO] EPISODE 1080, LOSS 2981.31005859375
"2023-05-07 19:30:18,757 [INFO] EPISODE 1090, LOSS 1862.8388671875
"2023-05-07 19:30:19,821 [INFO] EPISODE 1100, LOSS 2183.26513671875
"2023-05-07 19:30:20,880 [INFO] EPISODE 1110, LOSS 2688.1435546875
"2023-05-07 19:30:22,003 [INFO] EPISODE 1120, LOSS 1239.451416015625
"2023-05-07 19:30:23,148 [INFO] EPISODE 1130, LOSS 1700.2470703125
"2023-05-07 19:30:24,216 [INFO] EPISODE 1140, LOSS 1418.9754638671875
"2023-05-07 19:30:25,309 [INFO] EPISODE 1150, LOSS 2386.968017578125
"2023-05-07 19:30:26,431 [INFO] EPISODE 1160, LOSS 14516.734375
"2023-05-07 19:30:27,525 [INFO] EPISODE 1170, LOSS 1949.146240234375
"2023-05-07 19:30:28,652 [INFO] EPISODE 1180, LOSS 3322.97412109375
"2023-05-07 19:30:29,747 [INFO] EPISODE 1190, LOSS 2647.37841796875
"2023-05-07 19:30:30,887 [INFO] EPISODE 1200, LOSS 2581.51904296875
"2023-05-07 19:30:32,090 [INFO] EPISODE 1210, LOSS 2951.2802734375
"2023-05-07 19:30:33,263 [INFO] EPISODE 1220, LOSS 2573.78466796875
"2023-05-07 19:30:34,340 [INFO] EPISODE 1230, LOSS 3232.081787109375
"2023-05-07 19:30:35,420 [INFO] EPISODE 1240, LOSS 2230.3125
"2023-05-07 19:30:36,489 [INFO] EPISODE 1250, LOSS 2572.20166015625
"2023-05-07 19:30:37,689 [INFO] EPISODE 1260, LOSS 1755.2030029296875
"2023-05-07 19:30:38,911 [INFO] EPISODE 1270, LOSS 3381.4140625
"2023-05-07 19:30:39,930 [INFO] EPISODE 1280, LOSS 3240.63330078125
"2023-05-07 19:30:41,234 [INFO] EPISODE 1290, LOSS 2531.754638671875
"2023-05-07 19:30:42,487 [INFO] EPISODE 1300, LOSS 2868.7451171875
"2023-05-07 19:30:43,974 [INFO] EPISODE 1310, LOSS 1452.921630859375
"2023-05-07 19:30:45,423 [INFO] EPISODE 1320, LOSS 2034.331298828125
"2023-05-07 19:30:46,826 [INFO] EPISODE 1330, LOSS 1362.1282958984375
"2023-05-07 19:30:48,301 [INFO] EPISODE 1340, LOSS 2923.53955078125
"2023-05-07 19:30:49,726 [INFO] EPISODE 1350, LOSS 1530.52294921875
"2023-05-07 19:30:51,267 [INFO] EPISODE 1360, LOSS 2893.701171875
"2023-05-07 19:30:52,551 [INFO] EPISODE 1370, LOSS 3507.673828125
"2023-05-07 19:30:53,894 [INFO] EPISODE 1380, LOSS 1345.6307373046875
"2023-05-07 19:30:55,161 [INFO] EPISODE 1390, LOSS 2099.06982421875
"2023-05-07 19:30:56,615 [INFO] EPISODE 1400, LOSS 2005.1390380859375
"2023-05-07 19:30:58,221 [INFO] EPISODE 1410, LOSS 1872.56689453125
"2023-05-07 19:30:59,756 [INFO] EPISODE 1420, LOSS 3183.89453125
"2023-05-07 19:31:01,145 [INFO] EPISODE 1430, LOSS 3273.671875
"2023-05-07 19:31:02,553 [INFO] EPISODE 1440, LOSS 2581.304443359375
"2023-05-07 19:31:04,094 [INFO] EPISODE 1450, LOSS 4368.9296875
"2023-05-07 19:31:05,370 [INFO] EPISODE 1460, LOSS 2176.760498046875
"2023-05-07 19:31:06,681 [INFO] EPISODE 1470, LOSS 4106.4775390625
"2023-05-07 19:31:07,746 [INFO] EPISODE 1480, LOSS 2309.901611328125
"2023-05-07 19:31:08,891 [INFO] EPISODE 1490, LOSS 2712.532958984375
"2023-05-07 19:31:10,049 [INFO] EPISODE 1500, LOSS 1836.119140625
"2023-05-07 19:31:11,143 [INFO] EPISODE 1510, LOSS 3578.11328125
"2023-05-07 19:31:12,399 [INFO] EPISODE 1520, LOSS 2222.314208984375
"2023-05-07 19:31:13,833 [INFO] EPISODE 1530, LOSS 3763.708984375
"2023-05-07 19:31:15,012 [INFO] EPISODE 1540, LOSS 3345.319091796875
"2023-05-07 19:31:16,387 [INFO] EPISODE 1550, LOSS 3959.807373046875
"2023-05-07 19:31:17,622 [INFO] EPISODE 1560, LOSS 1542.4725341796875
"2023-05-07 19:31:19,020 [INFO] EPISODE 1570, LOSS 2007.150390625
"2023-05-07 19:31:20,338 [INFO] EPISODE 1580, LOSS 3209.153076171875
"2023-05-07 19:31:21,737 [INFO] EPISODE 1590, LOSS 1705.5384521484375
"2023-05-07 19:31:23,049 [INFO] EPISODE 1600, LOSS 4650.8427734375
"2023-05-07 19:31:24,239 [INFO] EPISODE 1610, LOSS 2381.982177734375
"2023-05-07 19:31:25,363 [INFO] EPISODE 1620, LOSS 2253.29248046875
"2023-05-07 19:31:26,375 [INFO] EPISODE 1630, LOSS 2664.4755859375
"2023-05-07 19:31:27,498 [INFO] EPISODE 1640, LOSS 1908.573486328125
"2023-05-07 19:31:28,553 [INFO] EPISODE 1650, LOSS 2155.521728515625
"2023-05-07 19:31:29,622 [INFO] EPISODE 1660, LOSS 942.3265991210938
"2023-05-07 19:31:30,711 [INFO] EPISODE 1670, LOSS 2464.672607421875
"2023-05-07 19:31:31,766 [INFO] EPISODE 1680, LOSS 2328.409912109375
"2023-05-07 19:31:32,741 [INFO] EPISODE 1690, LOSS 1528.2991943359375
"2023-05-07 19:31:33,775 [INFO] EPISODE 1700, LOSS 2526.4267578125
"2023-05-07 19:31:34,814 [INFO] EPISODE 1710, LOSS 3911.853271484375
"2023-05-07 19:31:35,937 [INFO] EPISODE 1720, LOSS 1193.3846435546875
"2023-05-07 19:31:37,091 [INFO] EPISODE 1730, LOSS 2071.2919921875
"2023-05-07 19:31:38,199 [INFO] EPISODE 1740, LOSS 2523.0771484375
"2023-05-07 19:31:39,349 [INFO] EPISODE 1750, LOSS 2192.69775390625
"2023-05-07 19:31:40,422 [INFO] EPISODE 1760, LOSS 3114.78759765625
"2023-05-07 19:31:41,343 [INFO] EPISODE 1770, LOSS 2614.960693359375
"2023-05-07 19:31:42,427 [INFO] EPISODE 1780, LOSS 2004.87451171875
"2023-05-07 19:31:43,537 [INFO] EPISODE 1790, LOSS 2770.251953125
"2023-05-07 19:31:44,639 [INFO] EPISODE 1800, LOSS 2057.008056640625
"2023-05-07 19:31:45,819 [INFO] EPISODE 1810, LOSS 2327.123046875
