"2023-05-04 16:10:22,522 [INFO] Reporter Initialized!
"2023-05-04 16:10:22,522 [INFO] Reporter LEVEL: info
"2023-05-04 16:10:23,954 [INFO] Loaded csv data is 0504_0300PM
"2023-05-04 16:10:25,172 [INFO] None
"2023-05-04 16:10:25,172 [INFO] Device(cuda) is working for train
"2023-05-04 16:10:25,172 [INFO] Train Started
"2023-05-04 16:10:25,186 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/0.onnx
"2023-05-04 16:10:25,186 [INFO] ===== Saved non-trained network
"2023-05-04 16:11:10,048 [INFO] EPISODE 1450, LOSS 0.0001691912766546011
"2023-05-04 16:11:10,325 [INFO] EPISODE 1460, LOSS 0.00017810688586905599
"2023-05-04 16:11:10,660 [INFO] EPISODE 1470, LOSS 0.0013417878653854132
"2023-05-04 16:11:10,989 [INFO] EPISODE 1480, LOSS 0.0001936547050718218
"2023-05-04 16:11:11,309 [INFO] EPISODE 1490, LOSS 0.00038170465268194675
"2023-05-04 16:11:11,617 [INFO] EPISODE 1500, LOSS 0.0011461115209385753
"2023-05-04 16:11:11,925 [INFO] EPISODE 1510, LOSS 0.00039452637429349124
"2023-05-04 16:11:12,205 [INFO] EPISODE 1520, LOSS 8.633462130092084e-05
"2023-05-04 16:11:12,270 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/1521.onnx
"2023-05-04 16:11:12,509 [INFO] EPISODE 1530, LOSS 0.000797225977294147
"2023-05-04 16:11:12,799 [INFO] EPISODE 1540, LOSS 0.0006141483318060637
"2023-05-04 16:11:13,115 [INFO] EPISODE 1550, LOSS 0.0011709834216162562
"2023-05-04 16:11:13,401 [INFO] EPISODE 1560, LOSS 0.00021111502428539097
"2023-05-04 16:11:13,698 [INFO] EPISODE 1570, LOSS 0.00015680375508964062
"2023-05-04 16:11:14,017 [INFO] EPISODE 1580, LOSS 0.00029612379148602486
"2023-05-04 16:11:14,301 [INFO] EPISODE 1590, LOSS 0.000678477983456105
"2023-05-04 16:11:14,588 [INFO] EPISODE 1600, LOSS 0.00030881474958732724
"2023-05-04 16:11:14,882 [INFO] EPISODE 1610, LOSS 0.0007910217973403633
"2023-05-04 16:11:15,202 [INFO] EPISODE 1620, LOSS 0.00015840928244870156
"2023-05-04 16:11:15,489 [INFO] EPISODE 1630, LOSS 0.0009308051085099578
"2023-05-04 16:11:15,795 [INFO] EPISODE 1640, LOSS 0.00013550985022448003
"2023-05-04 16:11:16,114 [INFO] EPISODE 1650, LOSS 0.00022270306362770498
"2023-05-04 16:11:16,412 [INFO] EPISODE 1660, LOSS 0.0004608801973517984
"2023-05-04 16:11:16,714 [INFO] EPISODE 1670, LOSS 0.0008122287690639496
"2023-05-04 16:11:17,071 [INFO] EPISODE 1680, LOSS 0.004209731239825487
"2023-05-04 16:11:17,419 [INFO] EPISODE 1690, LOSS 0.00032885029213503003
"2023-05-04 16:11:17,716 [INFO] EPISODE 1700, LOSS 0.0001073542152880691
"2023-05-04 16:11:18,004 [INFO] EPISODE 1710, LOSS 0.00023279157176148146
"2023-05-04 16:11:18,366 [INFO] EPISODE 1720, LOSS 0.0002458368253428489
"2023-05-04 16:11:18,679 [INFO] EPISODE 1730, LOSS 0.0009137049200944602
"2023-05-04 16:11:18,979 [INFO] EPISODE 1740, LOSS 0.00014023276162333786
"2023-05-04 16:11:19,306 [INFO] EPISODE 1750, LOSS 0.00022584122780244797
"2023-05-04 16:11:19,593 [INFO] EPISODE 1760, LOSS 0.00023542475537396967
"2023-05-04 16:11:19,882 [INFO] EPISODE 1770, LOSS 0.0021253260783851147
"2023-05-04 16:11:20,173 [INFO] EPISODE 1780, LOSS 0.003038069698959589
"2023-05-04 16:11:20,492 [INFO] EPISODE 1790, LOSS 0.0002822464448399842
"2023-05-04 16:11:20,783 [INFO] EPISODE 1800, LOSS 0.0001267818734049797
"2023-05-04 16:11:21,069 [INFO] EPISODE 1810, LOSS 0.000278626597719267
"2023-05-04 16:11:21,421 [INFO] EPISODE 1820, LOSS 0.0007885900558903813
"2023-05-04 16:11:21,721 [INFO] EPISODE 1830, LOSS 0.0013885239604860544
"2023-05-04 16:11:22,018 [INFO] EPISODE 1840, LOSS 0.00044172664638608694
"2023-05-04 16:11:22,305 [INFO] EPISODE 1850, LOSS 0.000420329044573009
"2023-05-04 16:11:22,628 [INFO] EPISODE 1860, LOSS 0.00020384634262882173
"2023-05-04 16:11:22,910 [INFO] EPISODE 1870, LOSS 0.0029955662321299314
"2023-05-04 16:11:23,200 [INFO] EPISODE 1880, LOSS 0.0003265129344072193
"2023-05-04 16:11:23,561 [INFO] EPISODE 1890, LOSS 0.00012803514255210757
"2023-05-04 16:11:23,843 [INFO] EPISODE 1900, LOSS 0.0003784706350415945
"2023-05-04 16:11:24,136 [INFO] EPISODE 1910, LOSS 0.00015866845205891877
"2023-05-04 16:11:24,228 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/1912.onnx
"2023-05-04 16:11:24,444 [INFO] EPISODE 1920, LOSS 0.0003221184597350657
"2023-05-04 16:11:24,764 [INFO] EPISODE 1930, LOSS 6.186011887621135e-05
"2023-05-04 16:11:25,043 [INFO] EPISODE 1940, LOSS 0.00011399373033782467
"2023-05-04 16:11:25,323 [INFO] EPISODE 1950, LOSS 0.0003676435153465718
"2023-05-04 16:11:25,584 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/1959.onnx
"2023-05-04 16:11:25,610 [INFO] EPISODE 1960, LOSS 0.000223664625082165
"2023-05-04 16:11:25,925 [INFO] EPISODE 1970, LOSS 0.00013267731992527843
"2023-05-04 16:11:26,221 [INFO] EPISODE 1980, LOSS 0.00019701250130310655
"2023-05-04 16:11:26,521 [INFO] EPISODE 1990, LOSS 0.00033106416231021285
